data_registro;cidade;confirmados;suspeitos;obitos
05-09-2020;Francisco Beltrão;145;242;2
06-09-2020;Francisco Beltrão;147;189;2
07-09-2020;Francisco Beltrão;162;211;4
08-09-2020;Francisco Beltrão;152;184;4
09-09-2020;Francisco Beltrão;98;147;1
10-09-2020;Francisco Beltrão;57;84;1
11-09-2020;Francisco Beltrão;177;236;5
12-09-2020;Francisco Beltrão;63;91;2
13-09-2020;Francisco Beltrão;100;166;3
14-09-2020;Francisco Beltrão;171;250;2
15-09-2020;Francisco Beltrão;92;156;2
16-09-2020;Francisco Beltrão;57;75;1
17-09-2020;Francisco Beltrão;55;78;2
18-09-2020;Francisco Beltrão;48;58;1
19-09-2020;Francisco Beltrão;83;139;1
20-09-2020;Francisco Beltrão;177;268;2
21-09-2020;Francisco Beltrão;62;88;1
22-09-2020;Francisco Beltrão;129;206;2
23-09-2020;Francisco Beltrão;177;263;3
24-09-2020;Francisco Beltrão;175;277;4
25-09-2020;Francisco Beltrão;60;99;1
26-09-2020;Francisco Beltrão;102;155;3
27-09-2020;Francisco Beltrão;137;227;3
28-09-2020;Francisco Beltrão;152;234;2
29-09-2020;Francisco Beltrão;66;106;1
30-09-2020;Francisco Beltrão;179;255;5
01-10-2020;Francisco Beltrão;85;105;1
02-10-2020;Francisco Beltrão;181;246;3
03-10-2020;Francisco Beltrão;159;264;4
04-10-2020;Francisco Beltrão;109;137;3
05-10-2020;Francisco Beltrão;48;70;1
06-10-2020;Francisco Beltrão;91;139;3
07-10-2020;Francisco Beltrão;94;114;2
08-10-2020;Francisco Beltrão;139;215;3
09-10-2020;Francisco Beltrão;101;169;1
10-10-2020;Francisco Beltrão;105;158;2
11-10-2020;Francisco Beltrão;118;186;2
12-10-2020;Francisco Beltrão;141;233;2
13-10-2020;Francisco Beltrão;164;253;2
14-10-2020;Francisco Beltrão;176;212;4
15-10-2020;Francisco Beltrão;71;112;1
16-10-2020;Francisco Beltrão;104;143;3
17-10-2020;Francisco Beltrão;79;133;2
18-10-2020;Francisco Beltrão;174;213;4
19-10-2020;Francisco Beltrão;84;141;1
20-10-2020;Francisco Beltrão;99;124;1
21-10-2020;Francisco Beltrão;100;161;3
22-10-2020;Francisco Beltrão;55;91;1
23-10-2020;Francisco Beltrão;113;191;2
24-10-2020;Francisco Beltrão;58;86;1
25-10-2020;Francisco Beltrão;88;137;2
26-10-2020;Francisco Beltrão;61;80;1
27-10-2020;Francisco Beltrão;151;213;3
28-10-2020;Francisco Beltrão;104;159;1
29-10-2020;Francisco Beltrão;114;156;2
30-10-2020;Francisco Beltrão;52;67;1
31-10-2020;Francisco Beltrão;143;217;2
01-11-2020;Francisco Beltrão;77;125;1
02-11-2020;Francisco Beltrão;114;187;2
03-11-2020;Francisco Beltrão;166;209;3
04-11-2020;Francisco Beltrão;97;138;2
05-11-2020;Francisco Beltrão;161;225;4
06-11-2020;Francisco Beltrão;155;241;2
07-11-2020;Francisco Beltrão;84;129;2
08-11-2020;Francisco Beltrão;89;108;2
09-11-2020;Francisco Beltrão;122;177;3
10-11-2020;Francisco Beltrão;74;90;2
11-11-2020;Francisco Beltrão;105;133;2
12-11-2020;Francisco Beltrão;140;212;4
13-11-2020;Francisco Beltrão;67;90;2
14-11-2020;Francisco Beltrão;133;184;3
15-11-2020;Francisco Beltrão;82;101;2
16-11-2020;Francisco Beltrão;121;184;3
17-11-2020;Francisco Beltrão;68;103;1
18-11-2020;Francisco Beltrão;116;194;1
19-11-2020;Francisco Beltrão;47;61;1
20-11-2020;Francisco Beltrão;115;188;3
21-11-2020;Francisco Beltrão;75;114;1
22-11-2020;Francisco Beltrão;181;297;5
23-11-2020;Francisco Beltrão;180;270;3
24-11-2020;Francisco Beltrão;105;139;1
25-11-2020;Francisco Beltrão;104;170;3
26-11-2020;Francisco Beltrão;177;255;3
27-11-2020;Francisco Beltrão;164;215;4
28-11-2020;Francisco Beltrão;74;122;1
29-11-2020;Francisco Beltrão;180;261;5
30-11-2020;Francisco Beltrão;68;104;1
01-12-2020;Francisco Beltrão;156;254;4
02-12-2020;Francisco Beltrão;74;93;1
03-12-2020;Francisco Beltrão;67;86;2
04-12-2020;Francisco Beltrão;47;80;1
05-12-2020;Francisco Beltrão;113;154;3
06-12-2020;Francisco Beltrão;141;222;2
07-12-2020;Francisco Beltrão;150;199;4
08-12-2020;Francisco Beltrão;99;159;2
09-12-2020;Francisco Beltrão;124;172;3
10-12-2020;Francisco Beltrão;112;177;2
11-12-2020;Francisco Beltrão;133;186;4
12-12-2020;Francisco Beltrão;54;70;1
13-12-2020;Francisco Beltrão;69;111;1
14-12-2020;Francisco Beltrão;69;89;1
15-12-2020;Francisco Beltrão;171;272;2
16-12-2020;Francisco Beltrão;108;182;3
17-12-2020;Francisco Beltrão;57;71;1
18-12-2020;Francisco Beltrão;178;265;3
19-12-2020;Francisco Beltrão;119;151;4
20-12-2020;Francisco Beltrão;133;175;1
21-12-2020;Francisco Beltrão;161;198;3
22-12-2020;Francisco Beltrão;129;189;3
23-12-2020;Francisco Beltrão;48;59;1
24-12-2020;Francisco Beltrão;66;92;1
25-12-2020;Francisco Beltrão;152;197;2
26-12-2020;Francisco Beltrão;57;95;1
27-12-2020;Francisco Beltrão;100;134;2
28-12-2020;Francisco Beltrão;78;100;2
29-12-2020;Francisco Beltrão;173;230;5
30-12-2020;Francisco Beltrão;54;82;1
31-12-2020;Francisco Beltrão;145;191;4
01-01-2021;Francisco Beltrão;180;243;2
02-01-2021;Francisco Beltrão;133;179;2
03-01-2021;Francisco Beltrão;136;178;4
04-01-2021;Francisco Beltrão;136;224;3
05-01-2021;Francisco Beltrão;78;125;2
06-01-2021;Francisco Beltrão;97;122;3
07-01-2021;Francisco Beltrão;76;93;2
08-01-2021;Francisco Beltrão;81;105;2
09-01-2021;Francisco Beltrão;134;199;1
10-01-2021;Francisco Beltrão;147;180;3
11-01-2021;Francisco Beltrão;171;251;5
12-01-2021;Francisco Beltrão;172;289;3
13-01-2021;Francisco Beltrão;157;249;4
14-01-2021;Francisco Beltrão;104;161;1
15-01-2021;Francisco Beltrão;97;125;2
16-01-2021;Francisco Beltrão;115;175;3
17-01-2021;Francisco Beltrão;173;252;4
18-01-2021;Francisco Beltrão;126;166;3
19-01-2021;Francisco Beltrão;173;236;4
20-01-2021;Francisco Beltrão;101;152;1
21-01-2021;Francisco Beltrão;102;169;2
22-01-2021;Francisco Beltrão;76;112;2
23-01-2021;Francisco Beltrão;165;209;3
24-01-2021;Francisco Beltrão;56;72;2
25-01-2021;Francisco Beltrão;105;161;3
26-01-2021;Francisco Beltrão;93;131;3
27-01-2021;Francisco Beltrão;153;184;4
28-01-2021;Francisco Beltrão;118;161;3
29-01-2021;Francisco Beltrão;131;217;4
30-01-2021;Francisco Beltrão;141;236;3
31-01-2021;Francisco Beltrão;88;140;2
01-02-2021;Francisco Beltrão;73;107;2
02-02-2021;Francisco Beltrão;121;185;3
03-02-2021;Francisco Beltrão;76;101;1
04-02-2021;Francisco Beltrão;142;215;3
05-02-2021;Francisco Beltrão;182;301;3
06-02-2021;Francisco Beltrão;106;129;1
07-02-2021;Francisco Beltrão;86;117;1
08-02-2021;Francisco Beltrão;65;98;2
09-02-2021;Francisco Beltrão;172;277;3
10-02-2021;Francisco Beltrão;58;93;1
11-02-2021;Francisco Beltrão;148;237;2
12-02-2021;Francisco Beltrão;74;94;2
13-02-2021;Francisco Beltrão;139;210;2
14-02-2021;Francisco Beltrão;73;102;2
15-02-2021;Francisco Beltrão;158;260;3
16-02-2021;Francisco Beltrão;89;118;2
17-02-2021;Francisco Beltrão;126;212;3
18-02-2021;Francisco Beltrão;104;154;2
19-02-2021;Francisco Beltrão;139;203;2
20-02-2021;Francisco Beltrão;124;177;2
21-02-2021;Francisco Beltrão;144;196;4
22-02-2021;Francisco Beltrão;80;121;1
23-02-2021;Francisco Beltrão;99;129;2
24-02-2021;Francisco Beltrão;149;220;2
25-02-2021;Francisco Beltrão;76;119;1
26-02-2021;Francisco Beltrão;125;162;3
27-02-2021;Francisco Beltrão;68;93;2
28-02-2021;Francisco Beltrão;81;135;1
01-03-2021;Francisco Beltrão;128;202;2
02-03-2021;Francisco Beltrão;121;194;2
03-03-2021;Francisco Beltrão;84;102;2
04-03-2021;Francisco Beltrão;181;265;2
05-03-2021;Francisco Beltrão;111;142;3
06-03-2021;Francisco Beltrão;170;227;4
07-03-2021;Francisco Beltrão;170;233;5
08-03-2021;Francisco Beltrão;102;153;1
09-03-2021;Francisco Beltrão;82;107;1
10-03-2021;Francisco Beltrão;148;178;4
11-03-2021;Francisco Beltrão;47;70;1
12-03-2021;Francisco Beltrão;150;242;2
13-03-2021;Francisco Beltrão;115;191;2
14-03-2021;Francisco Beltrão;177;266;3
15-03-2021;Francisco Beltrão;71;114;1
16-03-2021;Francisco Beltrão;181;221;3
17-03-2021;Francisco Beltrão;128;189;2
18-03-2021;Francisco Beltrão;173;234;4
19-03-2021;Francisco Beltrão;123;154;3
20-03-2021;Francisco Beltrão;160;243;4
21-03-2021;Francisco Beltrão;48;73;1
22-03-2021;Francisco Beltrão;78;132;1
23-03-2021;Francisco Beltrão;178;250;2
24-03-2021;Francisco Beltrão;46;75;1
25-03-2021;Francisco Beltrão;56;81;1
26-03-2021;Francisco Beltrão;103;148;3
27-03-2021;Francisco Beltrão;60;93;2
28-03-2021;Francisco Beltrão;121;156;3
29-03-2021;Francisco Beltrão;177;279;5
30-03-2021;Francisco Beltrão;64;81;2
31-03-2021;Francisco Beltrão;167;259;2
01-04-2021;Francisco Beltrão;104;154;1
02-04-2021;Francisco Beltrão;160;269;2
03-04-2021;Francisco Beltrão;80;109;2
04-04-2021;Francisco Beltrão;81;127;1
05-04-2021;Francisco Beltrão;168;233;5
06-04-2021;Francisco Beltrão;54;68;1
07-04-2021;Francisco Beltrão;90;141;1
08-04-2021;Francisco Beltrão;152;217;5
09-04-2021;Francisco Beltrão;48;68;1
10-04-2021;Francisco Beltrão;113;155;2
11-04-2021;Francisco Beltrão;123;173;3
12-04-2021;Francisco Beltrão;52;84;1
13-04-2021;Francisco Beltrão;138;196;2
14-04-2021;Francisco Beltrão;154;204;4
15-04-2021;Francisco Beltrão;158;237;3
16-04-2021;Francisco Beltrão;70;114;1
17-04-2021;Francisco Beltrão;106;158;1
18-04-2021;Francisco Beltrão;72;91;1
19-04-2021;Francisco Beltrão;147;186;4
20-04-2021;Francisco Beltrão;122;168;3
21-04-2021;Francisco Beltrão;165;265;2
22-04-2021;Francisco Beltrão;175;243;5
23-04-2021;Francisco Beltrão;51;62;1
24-04-2021;Francisco Beltrão;180;236;5
25-04-2021;Francisco Beltrão;161;235;3
26-04-2021;Francisco Beltrão;170;215;4
27-04-2021;Francisco Beltrão;118;176;2
28-04-2021;Francisco Beltrão;69;114;1
29-04-2021;Francisco Beltrão;142;195;3
30-04-2021;Francisco Beltrão;64;102;2
01-05-2021;Francisco Beltrão;107;160;3
02-05-2021;Francisco Beltrão;175;295;2
03-05-2021;Francisco Beltrão;56;70;1
04-05-2021;Francisco Beltrão;89;126;3
05-05-2021;Francisco Beltrão;149;237;4
06-05-2021;Francisco Beltrão;48;80;1
07-05-2021;Francisco Beltrão;159;256;3
08-05-2021;Francisco Beltrão;129;165;2
09-05-2021;Francisco Beltrão;98;125;3
10-05-2021;Francisco Beltrão;94;139;3
11-05-2021;Francisco Beltrão;69;85;1
12-05-2021;Francisco Beltrão;46;64;1
13-05-2021;Francisco Beltrão;161;238;4
14-05-2021;Francisco Beltrão;156;229;3
15-05-2021;Francisco Beltrão;180;220;4
16-05-2021;Francisco Beltrão;159;222;4
17-05-2021;Francisco Beltrão;82;139;1
18-05-2021;Francisco Beltrão;81;126;1
19-05-2021;Francisco Beltrão;171;218;5
20-05-2021;Francisco Beltrão;46;56;1
21-05-2021;Francisco Beltrão;143;193;4
22-05-2021;Francisco Beltrão;58;81;1
23-05-2021;Francisco Beltrão;177;217;4
24-05-2021;Francisco Beltrão;144;241;2
25-05-2021;Francisco Beltrão;64;100;1
26-05-2021;Francisco Beltrão;87;121;2
27-05-2021;Francisco Beltrão;62;104;1
28-05-2021;Francisco Beltrão;85;108;2
29-05-2021;Francisco Beltrão;86;116;2
30-05-2021;Francisco Beltrão;138;204;4
31-05-2021;Francisco Beltrão;86;114;1
01-06-2021;Francisco Beltrão;56;75;1
02-06-2021;Francisco Beltrão;103;139;2
03-06-2021;Francisco Beltrão;178;290;5
04-06-2021;Francisco Beltrão;146;194;3
05-06-2021;Francisco Beltrão;130;206;3
06-06-2021;Francisco Beltrão;104;131;1
07-06-2021;Francisco Beltrão;53;81;1
08-06-2021;Francisco Beltrão;116;163;3
09-06-2021;Francisco Beltrão;57;80;1
10-06-2021;Francisco Beltrão;63;96;1
11-06-2021;Francisco Beltrão;164;224;2
12-06-2021;Francisco Beltrão;82;102;2
13-06-2021;Francisco Beltrão;48;72;1
14-06-2021;Francisco Beltrão;87;137;1
15-06-2021;Francisco Beltrão;52;88;1
16-06-2021;Francisco Beltrão;174;217;3
17-06-2021;Francisco Beltrão;90;128;2
18-06-2021;Francisco Beltrão;77;112;2
19-06-2021;Francisco Beltrão;71;88;1
20-06-2021;Francisco Beltrão;118;185;2
21-06-2021;Francisco Beltrão;51;73;2
22-06-2021;Francisco Beltrão;172;254;2
23-06-2021;Francisco Beltrão;65;84;1
24-06-2021;Francisco Beltrão;176;282;5
25-06-2021;Francisco Beltrão;179;286;4
26-06-2021;Francisco Beltrão;144;204;3
27-06-2021;Francisco Beltrão;168;240;3
28-06-2021;Francisco Beltrão;159;256;2
29-06-2021;Francisco Beltrão;121;189;1
30-06-2021;Francisco Beltrão;58;79;1
01-07-2021;Francisco Beltrão;58;97;1
02-07-2021;Francisco Beltrão;49;78;1
03-07-2021;Francisco Beltrão;140;212;4
04-07-2021;Francisco Beltrão;92;123;2
05-07-2021;Francisco Beltrão;77;104;1
06-07-2021;Francisco Beltrão;71;88;2
07-07-2021;Francisco Beltrão;163;266;2
08-07-2021;Francisco Beltrão;123;203;2
09-07-2021;Francisco Beltrão;47;74;1
10-07-2021;Francisco Beltrão;165;268;2
11-07-2021;Francisco Beltrão;114;182;3
12-07-2021;Francisco Beltrão;98;152;2
13-07-2021;Francisco Beltrão;93;147;2
14-07-2021;Francisco Beltrão;124;166;2
15-07-2021;Francisco Beltrão;121;160;2
16-07-2021;Francisco Beltrão;124;156;3
17-07-2021;Francisco Beltrão;158;194;3
18-07-2021;Francisco Beltrão;145;202;2
19-07-2021;Francisco Beltrão;95;120;3
20-07-2021;Francisco Beltrão;149;201;2
21-07-2021;Francisco Beltrão;140;218;2
22-07-2021;Francisco Beltrão;112;180;1
23-07-2021;Francisco Beltrão;49;76;1
24-07-2021;Francisco Beltrão;97;157;1
25-07-2021;Francisco Beltrão;80;136;1
26-07-2021;Francisco Beltrão;130;217;3
27-07-2021;Francisco Beltrão;111;177;3
28-07-2021;Francisco Beltrão;161;195;4
29-07-2021;Francisco Beltrão;174;268;4
30-07-2021;Francisco Beltrão;147;238;2
31-07-2021;Francisco Beltrão;128;190;2
01-08-2021;Francisco Beltrão;173;256;5
02-08-2021;Francisco Beltrão;171;254;4
03-08-2021;Francisco Beltrão;46;61;1
04-08-2021;Francisco Beltrão;117;147;2
05-08-2021;Francisco Beltrão;80;123;2
06-08-2021;Francisco Beltrão;127;170;4
07-08-2021;Francisco Beltrão;75;111;2
08-08-2021;Francisco Beltrão;127;187;1
09-08-2021;Francisco Beltrão;121;183;3
10-08-2021;Francisco Beltrão;163;267;4
11-08-2021;Francisco Beltrão;56;71;1
12-08-2021;Francisco Beltrão;78;106;2
13-08-2021;Francisco Beltrão;65;90;2
14-08-2021;Francisco Beltrão;59;82;1
15-08-2021;Francisco Beltrão;175;292;3
16-08-2021;Francisco Beltrão;138;197;3
17-08-2021;Francisco Beltrão;130;164;2
18-08-2021;Francisco Beltrão;62;86;2
19-08-2021;Francisco Beltrão;146;210;2
20-08-2021;Francisco Beltrão;117;144;2
21-08-2021;Francisco Beltrão;92;145;1
22-08-2021;Francisco Beltrão;143;211;4
23-08-2021;Francisco Beltrão;169;204;2
24-08-2021;Francisco Beltrão;147;231;3
25-08-2021;Francisco Beltrão;55;89;1
26-08-2021;Francisco Beltrão;65;86;1
27-08-2021;Francisco Beltrão;148;218;4
28-08-2021;Francisco Beltrão;68;97;2
29-08-2021;Francisco Beltrão;111;165;2
30-08-2021;Francisco Beltrão;167;228;2
31-08-2021;Francisco Beltrão;129;189;3
01-09-2021;Francisco Beltrão;107;175;1
02-09-2021;Francisco Beltrão;68;89;1
03-09-2021;Francisco Beltrão;123;172;3
04-09-2021;Francisco Beltrão;85;133;1
05-09-2021;Francisco Beltrão;76;113;2
06-09-2021;Francisco Beltrão;125;171;3
07-09-2021;Francisco Beltrão;173;212;4
08-09-2021;Francisco Beltrão;101;138;1
09-09-2021;Francisco Beltrão;70;119;1
10-09-2021;Francisco Beltrão;139;205;3
11-09-2021;Francisco Beltrão;161;225;2
12-09-2021;Francisco Beltrão;97;130;1
13-09-2021;Francisco Beltrão;66;85;1
14-09-2021;Francisco Beltrão;137;178;4
15-09-2021;Francisco Beltrão;79;134;2
16-09-2021;Francisco Beltrão;57;95;1
